,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions
0,TPN-006672,RCP-036713,"Muskingum County, Ohio",Ohio,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Health Department-Contact Tracers,1-Public Health,1.3-COVID-19 Contact Tracing,"The Muskingum County Health Department has managed contract tracing for all covid-19 cases within the county. In the fall of 2021, those number spiked and additional funds were needed to for full time contact tracers as well as laptops necessary to perform the work. As many as 12-20 contact tracers were working on covid-19 cases alone in the fall of 2021, putting great strain on the staff and budget. A portion of the funds were assigned to the on staff medical officer to continue his services during the pandemic.",,25000.0,25000.0,,,,,,,,No,,25000.0,1 Imp General Public,,,,,2023-03-31,,,,
1,TPN-011929,RCP-039037,"Jackson County, Illinois",Illinois,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Jackson County Health Department Contract Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"No new expenditures this quarter. This project provides funding for the Jackson County Health Department  for contract tracing efforts to minimize the spread of COVID-19. Throughout the COVID-19 pandemic, one of the top priorities of the Health Department has been to minimize the spread of the disease. These contract tracing efforts have required the hiring of additional personnel to contact those individuals who have contracted coronavirus and locate everyone they have come into close contact with. Due to the quick spreading nature of this disease, doing so requires several dedicated employees to track down the many potential cases of COVID-19. This project funds a critically important aspect of the COVID-19 pandemic as carried out by the Jackson County Health Department.",,150930.0,136332.87,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
2,TPN-112948,RCP-039036,"North Bergen Township, New Jersey",New Jersey,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,2022 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Provide contact tracing against covid-19 for residents and staff of the Township,38275.0,38275.0,38275.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
3,TPN-092714,RCP-036634,"Canovanas Municipio City, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Covid-19 and Health Center,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID-19 & Health Center (the “Center) is designed to mitigate and prevent the spread of the coronavirus in the Municipality of Canóvanas.  It will operate in collaboration with non-profit organizations, including a multi-disciplinary team integrated by different professionals.  The core elements are: contact tracing, vaccinations and direct services to individuals and families affected by the coronavirus. Some of the main objectives are:

 

•             Increase public awareness on COVID-19 preventive measures, reduce the virus transmission, through educational and promotional activities.

•             Develop and coordinate collaborative agreements related to vaccination and service delivery to manage the identified needs of the population resulting from research and screening efforts.

•             Investigate cases from Bio Portal information and self-referred cases.

•             Follow up contacts and cases until isolation or quarantine is complete.

•             Identify active outbreaks and report in a timely manner to the concerned areas so that they can be addressed and prevent the spread of the condition.

•             Provide health clinics in disadvantage communities

•             Covid19 testing

•             Serves as a liason to access other municipal units

 

Services under this initiative will be provided by the following professionals:

 

•             Epidemiologist;

•             Program coordinator or administrator;

•             Call center operators;

•             Nurses

•             Case specialists;

•             Health monitor; and

•             Health Educator.

 

It will also provided psychological and nutrition services, support for families in isolation or quarantine, as well as referrals, related to the pandemic effects, health education, spiritual counseling, motivational services and life coaching.  The communities, and the  the bedridden, specially those in areas of difficult access, will be reach through the acquisition of a mobile unit.",605786.0,403585.07,334278.14,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
4,TPN-075983,RCP-036628,"Arecibo Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,COVID Contact Tracing Center,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID Contact Tracing Center (the “Center) is a program design to mitigate and prevent the spread of the coronavirus in the Municipality of Arecibo.  The program is operated in collaboration with non-profit organizations and includes a multi-disciplinary team integrated by different professionals.  The program consists of three core elements: contact tracing, vaccinations and direct services to individuals and families affected by the coronavirus.  The Center particularly is aimed at investigating and tracing COVID cases within the Municipality and it includes an outreach and community education component.",725000.0,620434.33,598009.33,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,18 Dis Imp HHs residing in the U.S. territories or receiving services,,,2023-03-31,,,,
5,TPN-097096,RCP-036433,"Whatcom County, Washington",Washington,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Contact Tracing Q2 2022,1-Public Health,1.3-COVID-19 Contact Tracing,Efforts to trace spread of the COVID19 virus in the community.,,37959.0,37959.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
6,TPN-080974,RCP-036433,"Whatcom County, Washington",Washington,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Contact Tracing Q1 2022,1-Public Health,1.3-COVID-19 Contact Tracing,Efforts to trace spread of the COVID19 virus in the community.,,203247.0,203247.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
7,TPN-024685,RCP-036433,"Whatcom County, Washington",Washington,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Contact Tracing 2021,1-Public Health,1.3-COVID-19 Contact Tracing,2021 costs associated with tracing COVID19 infections in the community.,,41176.0,41176.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
8,TPN-007308,RCP-036566,American Samoa,American Samoa,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Territorial Government,Completed 50% or more,Safe Travel,1-Public Health,1.3-COVID-19 Contact Tracing,"As of March 31, 2023, this project is still moving forward and Datahouse still the contracting vendor for Safe Travels Program.
As of Jan. 27, 2023, project is moving forward as planned.
QUARTERLY PERFORMANCE ACCOMPLISHMENTS:

1.	SAFE TRAVELS AMERICAN SAMOA ARPA PROJECT has successfully hired staff and personnel to staff this project with the support needed to effectively manage the transition of TALOFAPass.

QUARTERLY PERFORMANCE CHALLENGES:

The ASGTO has experienced several challenges in initially building capacity.

1)	The digital ecosystem in American Samoa is still being developed as new technology is being integrated to improve government services.
2)	Acquiring equipment with the current routing process. TALOFAPass was not able to successfully buy its own phone & line due to implications within its operations.

Quarterly Performance Accomplishments
•	Quarantine changes made to reflect current need
•	Covid Policy Edits made to reflect current need
•	Contract Tracing module changes implemented
•	Please see additional performance accomplishments attached.  
Quarterly Challenges:
ASG consistent evolving policy changes and needs to be reflected in system in short time frames.
Project Summary:
Provided and created an information system solution that integrates multi-agency approval procedures, streamlines traveler registration, validates immigration and COVID vaccination status, schedules, and tracks COVID testing, and monitors quarantine requirements. When American Samoa (AS) intended to repatriate its citizens on a controlled basis in September 2021, this system was created to provide a holistic solution to prevent the spread of COVID-19 in the Territory. The approach includes mandating incoming passengers to go through various cycles of pre-travel testing, 100% vaccination compliance or prioritizing fully vaccinated persons as travelers and requiring a quarantine procedure. To register, monitor, and manage all this information, the need for an Enterprise IT solution was critical for processing, reporting, and tracking any potential COVID-19 crisis in AS, especially as aggressive variants continue to surface in the areas where passengers are currently residing or staging while bridging IT data communications between the essential AS government departments and Executive Branch to provide real-time data needed for crisis management. 
Project Objectives
• Traveler web and mobile application revisions
• Screener application revisions
• Travel exemption processing
• Self-quarantine module
• Vaccine registry
• COVID-19 testing module
• Inter-departmental Data Communications Platform for Departments of Health, Medicaid,
Attorney General, and Executive Branch
• Multi-language applications
• Help desk
• Design / End-User (the traveler) Functionality
• Design/ Administrative Functionality
• Required System Modules
• Project Management Expectations
• Technical Requirements
• Development of Licensing Options 
(As of September 30, 2022)

The TalofaPass (Safe Travels) program was designed to create a single platform for a multi-departmental effort to track, screen and collect travelers’ vaccination and testing information.  And, in the event that a traveler tested positive for COVID-19 virus, the ability for contact tracing and traveler information was readily available for public health officials to conduct their work.
The TalofaPass mirrored the State of Hawaii (Safe Travels) website to assist travelers and government departments to track all travelers and coordinate the relevant medical history as it relates to the CoVID-19 pandemic protocols.
The TalofaPass website continues to be refined after each flight to address any system or technical issues or improvements based on the travelers and government feedback.  
As outlined in the U.S. Department of Treasury Interim Rules document, any programs or proposals not listed in the non-exclusive list must complete an eligibility analysis by States and Territories to ensure the use of ARPA meets the ARPA eligibility criteria.",6840000.0,6350000.0,5000000.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
9,TPN-110295,RCP-036566,American Samoa,American Samoa,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Territorial Government,Completed less than 50%,Safe Travel Program Transition,1-Public Health,1.3-COVID-19 Contact Tracing,"As of March 31, 2023, this project is moving forward as planned. 
QUARTERLY PERFORMANCE ACCOMPLISHMENTS:
1. SAFE TRAVELS AMERICAN SAMOA ARPA PROJECT has successfully hired staff and personnel to staff this project with the support needed to effectively manage the transition of TALOFAPass. 
QUARTERLY PERFORMANCE CHALLENGES: 
The ASGTO has experienced several challenges in initially building capacity. 
1) The digital ecosystem in American Samoa is still being developed as new technology is being integrated to improve government services. 
2) Acquiring equipment with the current routing process. TALOFAPass was not able to successfully buy its own phone & line due to implications within its operations.





As of Jan. 27, 2023, project is moving forward as planned. 
Project status and accomplishments as of Jan. 27, 2023:
QUARTERLY PERFORMANCE ACCOMPLISHMENTS:
1.	SAFE TRAVELS AMERICAN SAMOA ARPA PROJECT has successfully hired staff and personnel to staff this project with the support needed to effectively manage the transition of TALOFAPass.

QUARTERLY PERFORMANCE CHALLENGES:
The ASGTO has experienced several challenges in initially building capacity.

1)	The digital ecosystem in American Samoa is still being developed as new technology is being integrated to improve government services.
2)	Acquiring equipment with the current routing process. TALOFAPass was not able to successfully buy its own phone & line due to implications within its operations.
PROJECT OBJECTIVES:
●	Set Up of Help Desk Office 
○	Complete automation of traveling preparation for American Samoa entrance
○	Assist in customer queries and provide support for TALOFAPass end-users
●	Office Location 
○	individuals who in their best interest need assistance with registration for future travel plans
●	Personnel 
○	Project Manager responsible for managing overall day to day tasks of the Help Desk
○	Finance Officer to fulfill duties in management, development, monitoring, implementation, and maintenance of the Help Desk’s financial and procurement function. 
○	IT Technician responsible for maintenance and support of network, system, DATA, and VOIP systems
○	Customer Service Representative responsible for assisting customers in area needed of aid
○	Data Processor Supervisor to review and prepare daily traveler based immigration documentation for the American Samoa Government Technology Office as well as to creating policies that reflect local immigration policy
○	Data Processor will assist the Data Processor Supervisor with all given tasks
●	Acquiring Equipment
○	Required supplies to be used by staff to assist in the implementation of ASGTO’s overall resilience during any future outbreaks of or similar to a global COVID-19 pandemic.




With the Coronavirus pandemic gaining momentum in the United States and internationally. American Samoa was given cause to prepare a comprehensive Action Plan aimed to combat the entry, spread, and treatment of the Coronavirus in the territory. Towards actions to prevent and preempt the entry of the virus into the territory, TALOFAPass became the primary source of data collection, analysis, and interpretation to monitor any significant outbreaks of viruses or diseases by all travelers entering American Samoa used by multiple agencies on one platform.
The TALOFAPass Application is the first cloud-based solution created by the American Samoa Government (ASG) and designed to usher the territory into the 21st century. It has met its objective of being the territory’s one-stop shop and first line of defense for screening/monitoring the potential spread of any known viruses or periodic outbreaks. The project is ready to continue to accomplish its long-term goal of improving ASG’s resilience and response to any crisis and helping modernize how ASG facilitates services online effectively and efficiently. This will further support the government-wide emphasis on e-government to promote social distancing and accessibility to vital services. Further improving the overall preparedness, resilience, and
integrity of government services while moving into the digital space.
TALOFAPass will be managed by the American Samoa Government Technology Office (ASGTO).",876000.0,51857.45,51857.45,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,
